AccountNumber,TotalActivityCount_SUM,
ACCT0001923,5,
ACCT0001931,489,
ACCT0001955,88,
ACCT0001957,81,
ACCT0001966,44,
ACCT0001975,14,
ACCT0001981,5,
ACCT0002017,41,
ACCT0002020,85,
ACCT0002028,71,
ACCT0002037,297,
ACCT0002044,647,
ACCT0002049,79,
ACCT0002052,10,
ACCT0002065,6,
ACCT0002066,8,
ACCT0002079,222,
ACCT0002096,139,
ACCT0002102,170,
ACCT0002104,79,
ACCT0002141,135,
ACCT0002166,127,
ACCT0002189,81,
ACCT0002192,42,
ACCT0002209,17,
ACCT0002237,25,
ACCT0002241,19,
ACCT0002245,88,
ACCT0002250,90,
ACCT0002261,4,
ACCT0002283,86,
ACCT0002290,56,
ACCT0002291,249,
ACCT0002308,6,
ACCT0002313,30,
ACCT0002328,2,
ACCT0002329,10,
ACCT0002330,187,
ACCT0002332,45,
ACCT0002340,440,
ACCT0002342,5,
ACCT0002351,217,
ACCT0002354,59,
ACCT0002357,11,
ACCT0002373,37,
ACCT0002377,3,
ACCT0002381,174,
ACCT0002384,710,
ACCT0002385,321,
ACCT0002387,2,
ACCT0002390,328,
ACCT0002404,120,
ACCT0002410,192,
ACCT0002414,52,
ACCT0002431,138,
ACCT0002437,43,
ACCT0002453,756,
ACCT0002468,6,
ACCT0002469,23,
ACCT0002491,127,
ACCT0002492,485,
ACCT0002499,3,
ACCT0002516,86,
ACCT0002533,9,
ACCT0002564,34,
ACCT0002577,258,
ACCT0002581,14,
ACCT0002583,13,
ACCT0002584,307,
ACCT0002592,134,
ACCT0002606,59,
ACCT0002629,35,
ACCT0002649,41,
ACCT0002678,76,
ACCT0002683,60,
ACCT0002693,52,
ACCT0002695,26,
ACCT0002717,59,
ACCT0002750,10,
ACCT0002766,58,
ACCT0002818,13,
ACCT0002829,21,
ACCT0002843,53,
ACCT0002847,64,
ACCT0002884,56,
ACCT0002887,28,
ACCT0002932,157,
ACCT0002940,30,
ACCT0002957,11,
ACCT0002993,47,
ACCT0003010,59,
ACCT0003015,86,
ACCT0003016,47,
ACCT0003020,105,
ACCT0003022,54,
ACCT0003031,216,
ACCT0003037,120,
