AccountNumber,TotalActivityCount_SUM,
ACCT0009895,86,
ACCT0009897,71,
ACCT0009901,232,
ACCT0009908,191,
ACCT0009926,33,
ACCT0009927,124,
ACCT0009936,6,
ACCT0009944,1,
ACCT0009956,138,
ACCT0009966,8,
ACCT0009974,14,
ACCT0009982,791,
ACCT0009986,253,
ACCT0010061,"1,029",
ACCT0010062,97,
ACCT0010064,51,
ACCT0010069,401,
ACCT0010070,28,
ACCT0010071,617,
ACCT0010073,301,
ACCT0010080,127,
ACCT0010086,529,
ACCT0010087,28,
ACCT0010100,6,
ACCT0010113,413,
ACCT0010120,130,
ACCT0010123,13,
ACCT0010139,205,
ACCT0010165,25,
ACCT0010171,3,
ACCT0010173,202,
ACCT0010216,7,
ACCT0010236,13,
ACCT0010239,60,
ACCT0010245,5,
ACCT0010250,88,
ACCT0010253,157,
ACCT0010261,240,
ACCT0010285,177,
ACCT0010291,103,
ACCT0010292,79,
ACCT0010297,1,
ACCT0010313,182,
ACCT0010314,8,
ACCT0010338,64,
ACCT0010344,23,
ACCT0010358,96,
ACCT0010367,68,
ACCT0010368,123,
ACCT0010376,20,
ACCT0010378,26,
ACCT0010386,31,
ACCT0010395,22,
ACCT0010401,1,
ACCT0010415,24,
ACCT0010463,6,
ACCT0010470,46,
ACCT0010471,22,
ACCT0010508,113,
ACCT0010528,13,
ACCT0010542,41,
ACCT0010553,277,
ACCT0010569,258,
ACCT0010572,86,
ACCT0010585,347,
ACCT0010587,3,
ACCT0010592,2,
ACCT0010596,446,
ACCT0010600,62,
ACCT0010602,254,
ACCT0010605,222,
ACCT0010610,302,
ACCT0010614,62,
ACCT0010625,45,
ACCT0010630,185,
ACCT0010645,21,
ACCT0010646,112,
ACCT0010658,296,
ACCT0010660,26,
ACCT0010678,46,
ACCT0010680,1,
ACCT0010684,53,
ACCT0010685,"1,376",
ACCT0010686,383,
ACCT0010691,286,
ACCT0010696,12,
ACCT0010697,72,
ACCT0010699,150,
ACCT0010701,354,
ACCT0010712,760,
ACCT0010718,2,
ACCT0010730,74,
ACCT0010732,142,
ACCT0010736,1,
ACCT0010747,127,
ACCT0010748,13,
ACCT0010752,77,
ACCT0010754,30,
ACCT0010771,177,
ACCT0010786,14,
ACCT0010795,305,
ACCT0010809,311,
ACCT0010817,190,
ACCT0010819,97,
ACCT0010824,37,
ACCT0010828,115,
ACCT0010830,19,
ACCT0010834,29,
ACCT0010835,429,
ACCT0010852,30,
ACCT0010857,11,
ACCT0010859,577,
ACCT0010863,86,
ACCT0010873,162,
ACCT0010889,9,
ACCT0010890,22,
ACCT0010895,3,
ACCT0010896,72,
ACCT0010914,44,
ACCT0010925,92,
ACCT0010932,407,
ACCT0010954,1,
ACCT0010960,35,
ACCT0010975,34,
ACCT0010976,50,
ACCT0010990,1,
ACCT0010991,55,
ACCT0010992,39,
ACCT0010994,165,
ACCT0011026,15,
ACCT0011028,45,
ACCT0011046,22,
ACCT0011068,40,
ACCT0011074,3,
ACCT0011080,296,
ACCT0011082,141,
ACCT0011086,6,
ACCT0011105,13,
ACCT0011126,35,
ACCT0011180,4,
ACCT0011308,184,
ACCT0011367,84,
ACCT0011398,114,
ACCT0011410,6,
ACCT0011447,5,
ACCT0011453,26,
ACCT0011531,3,
ACCT0011586,107,
ACCT0011911,79,
ACCT0011915,3,
ACCT0012115,2,
ACCT0012116,92,
ACCT0012126,281,
ACCT0012212,416,
ACCT0012230,22,
ACCT0012235,54,
ACCT0012391,24,
ACCT0012457,56,
ACCT0012489,52,
ACCT0012672,8,
ACCT0012678,2,
ACCT0012682,345,
ACCT0012816,2,
ACCT0012889,66,
ACCT0012914,249,
ACCT0012956,175,
ACCT0012962,254,
ACCT0013128,373,
ACCT0013273,129,
ACCT0013280,22,
ACCT0013288,38,
ACCT0013295,342,
ACCT0013300,337,
ACCT0013314,3,
ACCT0013318,20,
ACCT0013322,120,
ACCT0013323,140,
ACCT0013326,292,
ACCT0013333,502,
ACCT0013340,240,
ACCT0013355,50,
ACCT0013357,185,
ACCT0013370,5,
ACCT0013377,142,
ACCT0013388,83,
ACCT0013390,317,
ACCT0013395,30,
ACCT0013748,8,
ACCT0013750,3,
ACCT0013981,143,
ACCT0013986,129,
ACCT0013996,300,
ACCT0014001,40,
ACCT0014006,1,
ACCT0014007,120,
ACCT0014023,256,
ACCT0014058,144,
ACCT0014060,43,
ACCT0014072,9,
ACCT0014087,9,
ACCT0014110,344,
ACCT0014119,10,
ACCT0014128,92,
ACCT0014130,243,
ACCT0014138,122,
ACCT0014157,116,
ACCT0014160,10,
ACCT0014164,8,
ACCT0014165,197,
ACCT0014177,3,
ACCT0014187,75,
ACCT0014188,223,
ACCT0014190,241,
ACCT0014222,86,
ACCT0014231,297,
ACCT0014232,132,
ACCT0014240,1,
ACCT0014250,56,
ACCT0014252,6,
ACCT0014256,6,
ACCT0014262,522,
ACCT0014264,25,
ACCT0014272,4,
ACCT0014273,1,
ACCT0014298,128,
ACCT0014302,46,
ACCT0014311,75,
ACCT0014312,427,
ACCT0014337,194,
ACCT0014351,75,
ACCT0014354,139,
ACCT0014356,247,
ACCT0014358,12,
ACCT0014359,5,
ACCT0014360,18,
ACCT0014361,103,
ACCT0014364,630,
ACCT0014372,264,
ACCT0014374,90,
ACCT0014384,1,
ACCT0014391,79,
ACCT0014412,37,
ACCT0014494,6,
ACCT0014507,28,
ACCT0014534,50,
ACCT0014538,5,
ACCT0014577,28,
ACCT0014585,70,
ACCT0014681,7,
ACCT0014720,43,
ACCT0014871,171,
ACCT0014932,36,
ACCT0014943,153,
ACCT0014958,43,
ACCT0014963,105,
ACCT0014974,144,
ACCT0014999,34,
ACCT0015010,14,
ACCT0015020,325,
ACCT0015055,129,
ACCT0015065,6,
ACCT0015094,18,
ACCT0015109,9,
ACCT0015128,224,
ACCT0015169,318,
ACCT0015283,1,
ACCT0015341,8,
ACCT0015458,20,
ACCT0015462,113,
ACCT0015467,1,
ACCT0015471,2,
ACCT0015480,66,
ACCT0015504,33,
ACCT0015505,14,
ACCT0015506,166,
ACCT0015507,44,
ACCT0015508,97,
ACCT0015511,183,
ACCT0015522,10,
ACCT0015564,53,
ACCT0015565,426,
ACCT0015568,92,
ACCT0015572,7,
ACCT0015587,381,
ACCT0015590,191,
ACCT0015598,238,
ACCT0015600,56,
ACCT0015603,52,
ACCT0015609,284,
ACCT0015619,6,
ACCT0015629,22,
ACCT0015630,49,
ACCT0015632,44,
ACCT0015654,79,
ACCT0015662,101,
ACCT0015683,20,
ACCT0015694,"1,336",
ACCT0015695,86,
ACCT0015702,655,
ACCT0015703,23,
ACCT0015705,98,
ACCT0015706,4,
ACCT0015709,218,
ACCT0015710,22,
ACCT0015713,59,
ACCT0015715,281,
ACCT0015721,23,
ACCT0015722,167,
ACCT0015736,110,
ACCT0015737,2,
ACCT0015740,33,
ACCT0015743,7,
ACCT0015760,64,
ACCT0015766,8,
ACCT0015773,4,
ACCT0015795,191,
ACCT0015797,1,
ACCT0015817,3,
ACCT0015842,3,
ACCT0015850,13,
ACCT0015871,1,
ACCT0015905,8,
ACCT0015923,674,
ACCT0015929,4,
ACCT0015931,3,
ACCT0015932,22,
ACCT0015949,520,
ACCT0015956,5,
ACCT0015959,27,
ACCT0015960,55,
ACCT0015967,295,
ACCT0015974,37,
ACCT0015976,15,
ACCT0015979,93,
ACCT0015990,1,
ACCT0015994,274,
ACCT0015999,28,
ACCT0016005,336,
ACCT0016014,36,
ACCT0016017,9,
ACCT0016033,48,
ACCT0016045,1,
ACCT0016078,361,
ACCT0016129,7,
ACCT0016132,42,
ACCT0016137,47,
ACCT0016142,36,
ACCT0016241,2,
ACCT0016582,"1,422",
ACCT0016594,17,
ACCT0016605,56,
ACCT0016618,39,
ACCT0016633,18,
ACCT0016664,12,
ACCT0016675,324,
ACCT0016688,1,
ACCT0016692,17,
ACCT0016701,254,
ACCT0016709,130,
ACCT0016716,11,
ACCT0016738,36,
ACCT0016801,146,
ACCT0016808,12,
ACCT0016814,428,
ACCT0016863,7,
ACCT0016874,"1,226",
ACCT0016878,45,
ACCT0016882,352,
ACCT0016894,9,
ACCT0016960,112,
ACCT0016987,23,
ACCT0016998,78,
ACCT0017011,56,
ACCT0017023,91,
ACCT0017030,1,
ACCT0017031,24,
ACCT0017037,18,
ACCT0017042,1,
ACCT0017043,14,
ACCT0017046,165,
ACCT0017072,22,
ACCT0017073,44,
ACCT0017080,322,
ACCT0017090,35,
ACCT0017109,101,
ACCT0017110,3,
ACCT0017113,6,
ACCT0017119,36,
ACCT0017125,341,
ACCT0017134,3,
ACCT0017143,12,
ACCT0017153,9,
ACCT0017159,66,
ACCT0017161,47,
ACCT0017168,7,
ACCT0017183,4,
ACCT0017186,87,
ACCT0017187,194,
ACCT0017188,22,
ACCT0017193,14,
ACCT0017197,5,
ACCT0017205,8,
ACCT0017220,43,
ACCT0017226,17,
ACCT0017232,288,
ACCT0017241,5,
ACCT0017243,12,
ACCT0017246,72,
ACCT0017254,16,
ACCT0017476,3,
ACCT0017486,297,
ACCT0017515,8,
ACCT0017584,31,
ACCT0017715,19,
ACCT0017755,62,
ACCT0017894,27,
ACCT0017899,6,
ACCT0017914,126,
ACCT0017959,314,
ACCT0017985,2,
ACCT0017989,29,
ACCT0018012,38,
ACCT0018016,85,
ACCT0018079,175,
ACCT0018084,221,
ACCT0018148,90,
ACCT0018154,80,
ACCT0018164,123,
ACCT0018177,4,
ACCT0018194,262,
ACCT0018213,544,
ACCT0018221,337,
ACCT0018227,252,
ACCT0018292,116,
ACCT0018366,14,
ACCT0018368,1,
ACCT0018392,373,
ACCT0018410,10,
ACCT0018634,57,
ACCT0018691,16,
ACCT0018736,38,
ACCT0018737,166,
ACCT0018742,1,
ACCT0018771,134,
ACCT0018827,1,
ACCT0018858,47,
ACCT0018880,213,
ACCT0018890,"1,294",
ACCT0018901,318,
ACCT0018920,19,
ACCT0018931,4,
ACCT0018935,19,
ACCT0018936,362,
ACCT0018943,10,
ACCT0018948,10,
ACCT0018949,2,
ACCT0018975,139,
ACCT0018992,75,
ACCT0019003,264,
ACCT0019016,41,
ACCT0019026,1,
ACCT0019043,81,
ACCT0019044,3,
ACCT0019065,217,
ACCT0019083,1,
ACCT0019085,42,
ACCT0019109,55,
ACCT0019114,13,
ACCT0019115,94,
ACCT0019123,63,
ACCT0019134,27,
ACCT0019176,45,
ACCT0019180,42,
ACCT0019181,228,
ACCT0019211,136,
ACCT0019233,11,
ACCT0019238,50,
ACCT0019255,1,
ACCT0019269,31,
ACCT0019275,14,
ACCT0019280,26,
ACCT0019322,77,
ACCT0019324,122,
ACCT0019328,10,
ACCT0019359,80,
ACCT0019444,80,
ACCT0019471,12,
ACCT0019563,22,
ACCT0019574,231,
ACCT0019602,989,
ACCT0019606,10,
ACCT0019608,230,
ACCT0019611,143,
ACCT0019615,2,
ACCT0019638,16,
ACCT0019639,112,
ACCT0019664,16,
ACCT0019713,4,
ACCT0019714,41,
ACCT0019725,37,
ACCT0019733,185,
ACCT0019737,28,
ACCT0019740,22,
ACCT0019780,175,
ACCT0019784,3,
ACCT0019809,54,
ACCT0019827,466,
ACCT0019860,128,
ACCT0019917,223,
ACCT0019929,15,
ACCT0019947,7,
ACCT0019949,164,
ACCT0020043,20,
ACCT0020070,1,
ACCT0020173,160,
ACCT0020186,6,
ACCT0020192,1,
ACCT0020193,6,
ACCT0020219,36,
ACCT0020259,73,
ACCT0020296,93,
ACCT0020303,39,
ACCT0020304,49,
ACCT0020310,32,
ACCT0020345,3,
ACCT0020346,127,
ACCT0020402,322,
ACCT0020442,2,
ACCT0020463,366,
ACCT0020478,1,
ACCT0020482,539,
ACCT0020486,18,
ACCT0020490,6,
ACCT0020500,16,
ACCT0020508,1,
ACCT0020544,57,
ACCT0020588,3,
ACCT0020590,4,
ACCT0020608,10,
ACCT0020612,368,
ACCT0020618,58,
ACCT0020632,8,
ACCT0020649,64,
ACCT0020708,27,
ACCT0020718,125,
ACCT0020719,132,
ACCT0020732,21,
ACCT0020736,1,
ACCT0020745,205,
ACCT0020771,57,
ACCT0020780,59,
ACCT0020782,36,
ACCT0020787,75,
ACCT0020803,27,
ACCT0020827,202,
ACCT0020854,1,
ACCT0020872,3,
ACCT0020891,3,
ACCT0020898,6,
ACCT0020905,104,
ACCT0020913,47,
ACCT0020928,153,
ACCT0020937,497,
ACCT0020945,91,
ACCT0020951,21,
ACCT0020978,1,
ACCT0020991,7,
ACCT0021014,3,
ACCT0021023,15,
ACCT0021026,51,
ACCT0021029,29,
ACCT0021030,19,
ACCT0021031,84,
ACCT0021034,"1,796",
ACCT0021055,66,
ACCT0021058,19,
ACCT0021065,156,
ACCT0021091,16,
ACCT0021116,17,
ACCT0021138,3,
ACCT0021156,57,
ACCT0021176,30,
ACCT0021182,37,
ACCT0021191,505,
ACCT0021203,2,
ACCT0021209,5,
ACCT0021242,5,
ACCT0021283,31,
ACCT0021297,66,
ACCT0021344,21,
ACCT0021346,41,
ACCT0021363,28,
ACCT0021365,67,
ACCT0021372,73,
ACCT0021385,15,
ACCT0021403,106,
ACCT0021404,68,
ACCT0021418,459,
ACCT0021419,71,
ACCT0021420,64,
ACCT0021431,15,
ACCT0021432,86,
ACCT0021434,1,
ACCT0021444,38,
ACCT0021447,88,
ACCT0021464,3,
ACCT0021485,3,
ACCT0021503,7,
ACCT0021594,324,
ACCT0021597,112,
ACCT0021600,3,
ACCT0021621,75,
ACCT0021648,213,
ACCT0021660,290,
ACCT0021670,4,
ACCT0021684,44,
ACCT0021705,372,
ACCT0021716,334,
ACCT0021735,16,
ACCT0021739,77,
ACCT0021740,15,
ACCT0021790,"1,227",
ACCT0021794,13,
ACCT0021810,10,
ACCT0021859,65,
ACCT0021884,128,
ACCT0021941,6,
ACCT0021967,1,
ACCT0021991,53,
ACCT0021997,156,
ACCT0022061,43,
ACCT0022093,17,
ACCT0022123,8,
ACCT0022135,7,
ACCT0022166,9,
ACCT0022179,6,
ACCT0022181,5,
ACCT0022208,8,
ACCT0022223,295,
ACCT0022247,63,
ACCT0022282,109,
ACCT0022301,38,
ACCT0022340,28,
ACCT0022341,1,
ACCT0022359,87,
ACCT0022362,1,
ACCT0022365,97,
ACCT0022386,5,
ACCT0022398,119,
ACCT0022411,1,
ACCT0022441,1,
ACCT0022456,33,
ACCT0022502,55,
ACCT0022504,10,
ACCT0022506,2,
ACCT0022521,66,
ACCT0022522,5,
ACCT0022531,1,
ACCT0022537,16,
ACCT0022560,24,
ACCT0022593,121,
ACCT0022606,10,
ACCT0022617,44,
ACCT0022623,14,
ACCT0022625,32,
ACCT0022629,183,
ACCT0022663,13,
ACCT0022720,3,
ACCT0022729,117,
ACCT0022732,13,
ACCT0022738,880,
ACCT0022739,"2,816",
ACCT0022830,144,
ACCT0022867,94,
ACCT0022893,42,
ACCT0022895,18,
ACCT0022903,46,
ACCT0022917,6,
ACCT0022922,16,
ACCT0022930,279,
ACCT0022934,39,
ACCT0022935,38,
ACCT0022964,27,
ACCT0022992,1,
ACCT0023014,1,
ACCT0023024,127,
ACCT0023028,12,
ACCT0023099,105,
ACCT0023117,96,
ACCT0023145,51,
ACCT0023237,192,
ACCT0023261,14,
ACCT0023280,6,
ACCT0023281,196,
ACCT0023295,14,
ACCT0023340,3,
ACCT0023354,119,
ACCT0023360,9,
ACCT0023362,232,
ACCT0023364,497,
ACCT0023398,442,
ACCT0023402,49,
ACCT0023442,35,
ACCT0023451,25,
ACCT0023490,1,
ACCT0023510,178,
ACCT0023511,5,
ACCT0023513,3,
ACCT0023526,87,
ACCT0023532,3,
ACCT0023560,103,
ACCT0023587,68,
ACCT0023592,53,
ACCT0023646,12,
ACCT0023659,16,
ACCT0023699,7,
ACCT0023711,104,
ACCT0023719,72,
ACCT0023740,44,
ACCT0023750,79,
ACCT0023797,292,
ACCT0023829,3,
ACCT0023849,13,
ACCT0023867,205,
ACCT0023922,325,
ACCT0023925,10,
ACCT0023927,7,
ACCT0023958,10,
ACCT0023995,70,
ACCT0024011,175,
ACCT0024028,26,
ACCT0024034,65,
ACCT0024043,15,
ACCT0024076,5,
ACCT0024129,122,
ACCT0024130,3,
ACCT0024133,9,
ACCT0024135,4,
ACCT0024136,22,
ACCT0024140,2,
ACCT0024157,3,
ACCT0024160,45,
ACCT0024180,14,
ACCT0024181,19,
ACCT0024186,4,
ACCT0024195,155,
ACCT0024238,4,
ACCT0024245,55,
ACCT0024257,12,
ACCT0024271,101,
ACCT0024304,5,
ACCT0024308,28,
ACCT0024311,141,
ACCT0024344,42,
ACCT0024345,282,
ACCT0024355,5,
ACCT0024363,173,
ACCT0024372,49,
ACCT0024376,2,
ACCT0024382,2,
ACCT0024431,25,
ACCT0024470,6,
ACCT0024472,297,
ACCT0024481,3,
ACCT0024547,105,
ACCT0024559,16,
ACCT0024584,35,
ACCT0024588,430,
ACCT0024592,98,
ACCT0024597,5,
ACCT0024600,6,
ACCT0024605,9,
ACCT0024608,1,
ACCT0024640,108,
ACCT0024671,637,
ACCT0024696,9,
ACCT0024742,1,
ACCT0024750,69,
ACCT0024754,27,
ACCT0024764,5,
ACCT0024773,13,
ACCT0024848,173,
ACCT0024874,1,
ACCT0024898,3,
ACCT0024907,35,
ACCT0024921,4,
ACCT0025015,95,
ACCT0025031,26,
ACCT0025058,2,
ACCT0025080,119,
ACCT0025099,1,
ACCT0025100,233,
ACCT0025103,4,
ACCT0025135,98,
ACCT0025146,50,
ACCT0025183,100,
ACCT0025189,282,
ACCT0025192,129,
ACCT0025203,34,
ACCT0025221,1,
ACCT0025224,24,
ACCT0025272,7,
ACCT0025277,98,
ACCT0025295,4,
ACCT0025313,8,
ACCT0025317,135,
ACCT0025334,33,
ACCT0025387,67,
ACCT0025394,330,
ACCT0025417,11,
ACCT0025428,116,
ACCT0025444,"1,875",
ACCT0025525,19,
ACCT0025539,8,
ACCT0025636,16,
ACCT0025640,7,
ACCT0025645,26,
ACCT0025658,109,
ACCT0025671,33,
ACCT0025673,292,
ACCT0025708,138,
ACCT0025745,13,
ACCT0025767,216,
ACCT0025812,63,
ACCT0025817,159,
ACCT0025886,143,
ACCT0025887,834,
ACCT0025911,66,
ACCT0025921,3,
ACCT0025929,60,
ACCT0025941,8,
ACCT0025942,3,
ACCT0025949,155,
ACCT0025961,29,
ACCT0025962,55,
ACCT0026011,2,
ACCT0026027,1,
ACCT0026033,170,
ACCT0026035,14,
ACCT0026049,38,
ACCT0026054,577,
ACCT0026066,9,
ACCT0026076,251,
ACCT0026078,234,
ACCT0026095,14,
ACCT0026099,87,
ACCT0026131,31,
ACCT0026203,3,
ACCT0026230,40,
ACCT0026231,287,
ACCT0026320,16,
ACCT0026338,69,
ACCT0026344,51,
ACCT0026351,185,
ACCT0026353,77,
ACCT0026378,788,
ACCT0026385,160,
ACCT0026402,159,
ACCT0026408,23,
ACCT0026412,15,
ACCT0026423,295,
ACCT0026425,19,
ACCT0026438,4,
ACCT0026449,7,
ACCT0026460,4,
ACCT0026461,20,
ACCT0026474,5,
ACCT0026477,42,
ACCT0026483,129,
ACCT0026485,44,
ACCT0026523,1,
ACCT0026527,176,
ACCT0026531,73,
ACCT0026545,13,
ACCT0026567,28,
ACCT0026573,7,
ACCT0026626,16,
ACCT0026637,6,
ACCT0026643,103,
ACCT0026663,2,
ACCT0026727,32,
ACCT0026735,337,
ACCT0026772,10,
ACCT0026799,5,
ACCT0026810,90,
ACCT0026812,90,
ACCT0026827,194,
ACCT0026889,1,
ACCT0026897,121,
ACCT0026935,2,
ACCT0026936,5,
ACCT0027014,19,
ACCT0027016,1,
ACCT0027079,77,
ACCT0027081,19,
ACCT0027128,133,
ACCT0027357,13,
ACCT0027395,76,
ACCT0027417,13,
ACCT0027458,69,
ACCT0027485,411,
ACCT0027488,7,
ACCT0027495,134,
ACCT0027507,14,
ACCT0027522,14,
ACCT0027537,104,
ACCT0027540,104,
ACCT0027549,91,
ACCT0027557,74,
ACCT0027558,6,
ACCT0027565,110,
ACCT0027577,12,
ACCT0027589,5,
ACCT0027621,239,
ACCT0027631,230,
ACCT0027779,33,
ACCT0027871,428,
ACCT0027882,98,
ACCT0027884,15,
ACCT0028019,25,
ACCT0028236,37,
ACCT0028443,1,
ACCT0028570,16,
ACCT0028757,10,
ACCT0029371,20,
ACCT0030110,15,
ACCT0031055,4,
ACCT0031127,87,
ACCT0031146,16,
ACCT0031149,40,
ACCT0031181,2,
ACCT0031186,447,
ACCT0031191,354,
ACCT0031196,144,
ACCT0031220,87,
ACCT0031239,4,
ACCT0031252,4,
ACCT0031260,7,
ACCT0031271,6,
ACCT0031277,153,
ACCT0031323,7,
ACCT0031374,2,
ACCT0031386,26,
ACCT0031387,112,
ACCT0031398,4,
ACCT0031404,22,
ACCT0031489,37,
ACCT0031601,149,
ACCT0031718,1,
ACCT0031751,49,
ACCT0031771,7,
ACCT0031775,215,
ACCT0031784,9,
ACCT0031806,8,
ACCT0031810,56,
ACCT0031819,121,
ACCT0031823,80,
ACCT0031836,13,
ACCT0031880,261,
ACCT0032548,199,
ACCT0032557,288,
ACCT0032574,24,
ACCT0032584,37,
ACCT0032593,144,
ACCT0032623,189,
ACCT0032625,104,
ACCT0032641,9,
ACCT0032649,98,
ACCT0032678,4,
ACCT0032739,2,
ACCT0032777,3,
ACCT0032784,204,
ACCT0032804,8,
ACCT0032814,58,
ACCT0032828,85,
ACCT0032869,32,
ACCT0032939,11,
ACCT0032941,1,
ACCT0033091,3,
ACCT0033134,154,
ACCT0033139,27,
ACCT0033149,34,
ACCT0033171,63,
ACCT0033181,47,
ACCT0033188,1,
ACCT0033234,6,
ACCT0033260,306,
ACCT0033266,39,
ACCT0033325,45,
ACCT0033326,16,
ACCT0033363,14,
ACCT0033371,25,
ACCT0033385,1,
ACCT0033394,33,
ACCT0033395,87,
ACCT0033469,7,
ACCT0033492,227,
ACCT0033503,458,
ACCT0033511,2,
ACCT0033543,136,
ACCT0033556,37,
ACCT0033568,12,
ACCT0033591,37,
ACCT0033607,10,
ACCT0033611,396,
ACCT0033613,18,
ACCT0033628,131,
ACCT0035706,58,
ACCT0035736,8,
ACCT0035762,97,
ACCT0035770,3,
ACCT0035774,2,
ACCT0035813,183,
ACCT0035843,40,
ACCT0035850,16,
ACCT0035852,11,
ACCT0035880,45,
ACCT0035882,10,
ACCT0035909,138,
ACCT0035924,1,
ACCT0035926,41,
ACCT0035932,4,
ACCT0035937,93,
ACCT0035967,95,
ACCT0037147,2,
ACCT0037153,47,
ACCT0037173,96,
ACCT0037202,101,
ACCT0037210,33,
ACCT0037284,13,
ACCT0037343,1,
ACCT0037348,326,
ACCT0037360,5,
ACCT0037394,7,
ACCT0037417,6,
ACCT0037475,6,
ACCT0037483,47,
ACCT0037586,2,
ACCT0037632,1,
ACCT0037696,6,
ACCT0037714,2,
ACCT0037727,746,
ACCT0037731,74,
ACCT0037750,13,
ACCT0037782,5,
ACCT0037839,27,
ACCT0037932,13,
ACCT0037964,2,
ACCT0037973,51,
ACCT0038021,247,
ACCT0038043,107,
ACCT0038084,72,
ACCT0038098,9,
ACCT0038099,16,
ACCT0038161,1,
ACCT0038180,358,
ACCT0038187,1,
ACCT0038259,7,
ACCT0038262,36,
ACCT0038276,146,
ACCT0038292,5,
ACCT0038301,1,
ACCT0038312,2,
ACCT0038390,115,
ACCT0038400,52,
ACCT0038410,26,
ACCT0038435,4,
ACCT0038440,6,
ACCT0038450,30,
ACCT0038470,14,
ACCT0038475,70,
ACCT0038524,1,
ACCT0038692,45,
ACCT0038722,209,
ACCT0038755,60,
ACCT0038757,12,
ACCT0038816,2,
ACCT0038839,1,
ACCT0038847,3,
ACCT0038859,327,
ACCT0038870,24,
ACCT0038903,2,
ACCT0039440,290,
ACCT0039459,63,
ACCT0039482,2,
ACCT0039537,24,
ACCT0039561,18,
ACCT0039581,26,
ACCT0039591,26,
ACCT0039597,189,
ACCT0039628,15,
ACCT0039651,124,
ACCT0039692,32,
ACCT0039727,621,
ACCT0039729,7,
ACCT0039734,52,
ACCT0039754,31,
ACCT0039766,5,
ACCT0039769,25,
ACCT0039771,3,
ACCT0039775,440,
ACCT0039816,116,
ACCT0039833,16,
ACCT0039895,1,
ACCT0039926,55,
ACCT0039980,806,
ACCT0040009,176,
ACCT0040154,22,
ACCT0040176,14,
ACCT0040178,282,
ACCT0040236,472,
ACCT0040266,15,
ACCT0040275,79,
ACCT0040308,74,
ACCT0040341,7,
ACCT0040354,3,
ACCT0040377,2,
ACCT0040418,10,
ACCT0040426,3,
ACCT0040469,59,
ACCT0040561,15,
ACCT0040622,2,
ACCT0040629,15,
ACCT0040631,67,
ACCT0040691,37,
ACCT0040710,138,
ACCT0044135,19,
ACCT0045722,16,
ACCT0048655,2,
ACCT0048682,21,
ACCT0048683,28,
ACCT0048684,37,
ACCT0048690,43,
ACCT0048699,3,
ACCT0048703,41,
ACCT0048706,41,
ACCT0048707,122,
ACCT0048726,20,
ACCT0048736,17,
ACCT0048762,89,
ACCT0048784,452,
ACCT0048820,10,
ACCT0051663,1,
ACCT0052588,8,
ACCT0053704,1,
ACCT0055457,11,
ACCT0056712,32,
ACCT0057745,229,
ACCT0058669,290,
ACCT0059067,26,
ACCT0059075,287,
ACCT0059273,114,
ACCT0059290,1,
ACCT0059299,201,
ACCT0059399,11,
ACCT0059400,11,
ACCT0059426,549,
ACCT0059448,5,
ACCT0059567,28,
ACCT0059613,417,
ACCT0064053,27,
ACCT0064091,11,
ACCT0064113,1,
ACCT0064143,108,
ACCT0064173,16,
ACCT0064248,224,
ACCT0064317,7,
ACCT0064338,10,
ACCT0064409,8,
ACCT0064429,1,
ACCT0064448,1,
ACCT0064512,13,
ACCT0064534,60,
ACCT0064536,3,
ACCT0064555,6,
ACCT0064589,2,
ACCT0064600,1,
ACCT0064618,173,
ACCT0064647,6,
ACCT0064710,17,
ACCT0064731,11,
ACCT0064743,49,
ACCT0064769,15,
ACCT0064780,14,
ACCT0064813,29,
ACCT0064819,1,
ACCT0064846,170,
ACCT0064851,7,
ACCT0064915,55,
ACCT0065028,136,
ACCT0065032,10,
ACCT0065088,5,
ACCT0065103,3,
ACCT0065112,50,
ACCT0065123,66,
ACCT0065126,210,
ACCT0065212,12,
ACCT0065392,114,
ACCT0065544,36,
ACCT0065573,301,
ACCT0065581,21,
ACCT0065614,56,
ACCT0065616,8,
ACCT0065670,104,
ACCT0065688,33,
ACCT0065707,45,
ACCT0065739,87,
ACCT0065828,14,
ACCT0065841,242,
ACCT0065931,28,
ACCT0065953,1,
ACCT0066144,244,
ACCT0066147,1,
ACCT0066199,7,
ACCT0066211,12,
ACCT0066232,13,
ACCT0066272,8,
ACCT0066408,2,
ACCT0066428,13,
ACCT0066500,38,
ACCT0066508,95,
ACCT0066545,60,
ACCT0066577,1,
ACCT0066637,124,
ACCT0066645,1,
ACCT0066708,80,
ACCT0066818,2,
ACCT0066953,93,
ACCT0067228,9,
ACCT0067235,66,
ACCT0067285,75,
ACCT0067315,60,
ACCT0067323,12,
ACCT0067354,378,
ACCT0067489,232,
ACCT0067519,3,
ACCT0067547,5,
ACCT0067633,73,
ACCT0067672,3,
ACCT0067814,147,
ACCT0068007,149,
ACCT0068017,240,
ACCT0068036,3,
ACCT0068041,168,
ACCT0068250,2,
ACCT0068300,125,
ACCT0068342,15,
ACCT0068371,2,
ACCT0068472,84,
ACCT0068548,1,
ACCT0068645,4,
ACCT0068692,193,
ACCT0068812,1,
ACCT0068874,51,
ACCT0068887,2,
ACCT0069053,50,
ACCT0069106,22,
ACCT0069163,152,
ACCT0069309,43,
ACCT0069424,17,
ACCT0069589,24,
ACCT0069864,7,
ACCT0070307,4,
ACCT0070584,4,
ACCT0070701,100,
ACCT0070740,82,
ACCT0070752,2,
ACCT0070754,18,
